Site,BUFF_DIST,RESERVOIR,BORROWPITS,DUGOUT,LAGOON,BORROWPIT-DRY,SUMP,ROAD-UNCLASSIFIED,ROAD-UNIMPROVED,INTERCHANGE-RAMP,ROAD-GRAVEL-1L,ROAD-GRAVEL-2L,ROAD-PAVED-1L,ROAD-PAVED-2L,ROAD-PAVED-DIV,ROAD-PAVED-UNDIV-1L,ROAD-PAVED-UNDIV-2L,ROAD-PAVED-UNDIV-4L,ROAD-UNPAVED-2L,TRUCK-TRAIL,AIRP-RUNWAY,ROAD-UNPAVED-1L,ROAD-PAVED-4L,ROAD-PAVED-3L,RLWY-SGL-TRACK,RLWY-SPUR,CANAL,VEGETATED-EDGE-ROADS,VEGETATED-EDGE-RAILWAYS,GRVL-SAND-PIT,MINES-PITLAKE,MISC-OIL-GAS-FACILITY,FACILITY-UNKNOWN,FACILITY-OTHER,OIL-GAS-PLANT,CLEARING-UNKNOWN,URBAN-INDUSTRIAL,CLEARING-WELLPAD-UNCONFIRMED,WELL-CASED,WELL-GAS,WELL-OIL,WELL-OTHER,TRANSFER_STATION,LANDFILL,RECREATION,GOLFCOURSE,CAMPGROUND,GREENSPACE,SURROUNDING-VEG,RUNWAY,TRANSMISSION-LINE,CFO,RURAL-RESIDENCE,URBAN-RESIDENCE,COUNTRY-RESIDENCE,RESIDENCE_CLEARING,WELL-ABAND,ROUGH_PASTURE,CROP,TAME_PASTURE,FRUIT-VEGETABLES,CUTBLOCK,PRE-LOW-IMPACT-SEISMIC,TRAIL,DISTURB_VEG,PIPELINE
Cell 1,250,0,0,0,0,0,0,0,0.015927111,0,0.018089617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047113472,0,0,0,0,0,0,0,0,0,0,0,0,0.250024719,0,0,0,0,0,0.07848926,0,0,0,0,0,0,0,0,0,0,0,0.175382671,0,0,0,0,0,0,0
Cell 10,250,0,0,0,0,0,0,0.006169169,0,0,0,0,0,0,0,0.001337288,0.02325171,0,0,0,0,0,0,0,0,0,0,0.01618724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114921165,0,0.010804235,0,0,0,0,0,0,0,0.0103761,0.009371898,0,0
Cell 12,250,0,0,0,0,0,0,0.016438454,0.009065603,0,0.02394775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050643986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173169279,0,0,0.000138686,0.000108113,0,0
Cell 13,250,0,0,0,0,0,0,0,0,0,0.022816442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022735808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037532308
Cell 14,250,0,0,0,0,0,0,0.010295917,0,0,0.016118371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034462747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154771198,0,0,0,0,0.013466997,0,0,0,0.006490854,0,0
Cell 15,250,0,0,0,0,0,0,0.003031908,0.022311483,0,0,0,0,0,0,0,0.033016201,0,0,0,0,0,0,0,0,0,0,0.067379624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078085397,0,0.004910382,0,0,0,0,0,0,0.166458428,0,0,0.011410768,0,0,0
Cell 16,250,0,0,0,0,0,0,0,0,0,0.008496582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008453775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01883233,0,0.211498205,0,0,0,0.007709842,0,0
Cell 17,250,0,0,0,0,0,0,0,0,0,0.018740656,0,0,0,0,0,0.043893075,0,0,0,0,0,0,0,0,0,0,0.078349099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178429206,0,0,0.014999855,0.00528934,0,0
Cell 18,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040984108,0,0,0,0,0,0,0,0,0,0,0.034597302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111507902,0,0.099478457,0,0,0,0,0,0
Cell 19,250,0,0,0,0,0,0,0.017454552,0,0,0,0,0,0,0,0,0.044599402,0,0,0,0,0,0,0,0,0,0,0.007343268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055341091,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell 2,250,0,0,0,0,0,0,0,0,0,0.026590729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03372354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084371881,0,0,0,0,0,0,0.131377261,0,0,0.00814179,0,0,0
Cell 20,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044657793,0,0,0,0,0,0,0,0,0,0,0.013208945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01360934,0,0
Cell 22,250,0,0,0,0,0,0,0,0,0,0.04655911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062538008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156849452,0.052084912,0,0,0.003121481,0,0,0
Cell 23,250,0,0,0,0,0,0,0,0,0,0,0.031608754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014246438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132544787,0.205300316,0,0,0,0.022435544,0.004555878,0,0
Cell 24,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007753622,0,0
Cell 25,250,0,0,0,0,0,0,0,0,0,0.004128995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008858664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008446766,0,0
Cell 26,250,0,0,0,0,0,0,0,0,0,0,0.024902978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022768684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073342874,0,0,0,0,0,0,0,0,0,0,0,0.009878272,0.003764472,0,0
Cell 27,250,0,0,0,0,0,0,0,0,0,0,0.030700866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016010508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050873662,0,0,0,0,0,0,0.123997106,0,0,0.009868765,0,0,0
Cell 28,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043202628,0,0,0,0,0,0,0,0,0,0,0.029822047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104254923,0,0,0,0,0,0,0.697028503,0,0,0,0,0,0
Cell 29,250,0,0,0,0,0,0,0.006112894,0,0,0.026966768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026133464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023312746,0,0,0,0,0,0,0,0.006852515,0,0,0
Cell 3,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046123116,0,0,0.007821516,0.009160741,0,0
Cell 30,250,0,0,0,0,0,0,0,0.008837635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009229257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046091757,0,0,0,0,0,0.083752426,0.044563264,0,0,0.01554898,0,0,0
Cell 31,250,0,0,0,0,0,0,0.030486011,0,0,0,0,0,0,0,0,0.044627364,0,0,0,0,0,0,0,0,0,0,0.005570487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474846,0,0,0,0,0.022047911,0,0,0,0,0,0,0,0
Cell 32,250,0,0,0,0,0,0,0.015311925,0,0,0,0,0,0,0,0,0.04193169,0,0,0,0,0,0,0,0,0,0,0.008668819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060505466,0,0,0,0,0.028613678,0,0,0,0,0.004217779,0.003743757,0,0
Cell 33,250,0,0,0,0,0,0,0.004949497,0,0,0.00321211,0,0,0,0,0,0.061500542,0,0,0,0,0,0,0,0,0,0,0.119424513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016768516,0,0.21526467,0,0,0,0,0,0,0
Cell 34,250,0,0,0,0,0,0,0,0,0,0.031009014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057106166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034078462,0,0,0,0,0.184396914,0,0,0,0,0,0,0,0
Cell 35,250,0,0,0,0,0,0,0.008009616,0,0,0,0,0,0,0,0.029557816,0,0,0,0,0,0,0,0,0,0,0,0.044682363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25E-07,0,0,0,0,0.166966581,0,0,0,0,0,0,0,0.025002995
Cell 36,250,0,0,0,0,0,0,0,0,0,0.025180069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025339613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123211054,0,0,0,0,0,0,0,0
Cell 37,250,0,0,0,0,0,0,0,0,0,0.02045011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020209509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cell 38,250,0,0,0,0,0,0,0.002184754,0,0,0,0,0,0,0,0,0.045847861,0,0,0,0,0,0,0,0,0,0,0.008085158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105762503,0,0,0,0,0.056574209,0,0,0,0,0.008126831,0.008722384,0,0
Cell 39,250,0,0,0,0,0,0,0.008102602,0,0,0,0,0,0,0,0.017236379,0,0,0,0,0,0,0,0,0,0,0,0.013132489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045154519,0,0,0,0,0,0,0,0,0,0.007807034,0.004905069,0,0
Cell 4,250,0,0,0,0,0,0,0.017717702,0,0,0,0,0,0,0,0,0.045011992,0,0,0,0,0,0,0,0,0,0,0.011195624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149150574,0,0.190252252,0,0,0,0,0.078639304,0,0,0.017575809,0.001897509,0,0
Cell 40,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044864604,0,0,0,0,0,0.023346513,0,0.033840583
Cell 41,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019285377,0,0
Cell 42,250,0,0,0,0,0,0,0,0.023424952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008988009,0,0,0
Cell 43,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425198,0,0
Cell 44,250,0,0,0,0,0,0,0,0,0,0.02503698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028021272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004264052,0,0
Cell 45,250,0,0,0,0,0,0,0,0,0,0.035740153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047837886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356417634,0,0,0,0,0,0,0,0
