"site","radius","RESERVOIR","BORROWPITS","DUGOUT","LAGOON","BORROWPIT.DRY","SUMP","ROAD.UNCLASSIFIED","ROAD.UNIMPROVED","INTERCHANGE.RAMP","ROAD.GRAVEL.1L","ROAD.GRAVEL.2L","ROAD.PAVED.1L","ROAD.PAVED.2L","ROAD.PAVED.DIV","ROAD.PAVED.UNDIV.1L","ROAD.PAVED.UNDIV.2L","ROAD.PAVED.UNDIV.4L","ROAD.UNPAVED.2L","TRUCK.TRAIL","AIRP.RUNWAY","ROAD.UNPAVED.1L","ROAD.PAVED.4L","ROAD.PAVED.3L","RLWY.SGL.TRACK","RLWY.SPUR","CANAL","VEGETATED.EDGE.ROADS","VEGETATED.EDGE.RAILWAYS","GRVL.SAND.PIT","MINES.PITLAKE","MISC.OIL.GAS.FACILITY","FACILITY.UNKNOWN","FACILITY.OTHER","OIL.GAS.PLANT","CLEARING.UNKNOWN","URBAN.INDUSTRIAL","CLEARING.WELLPAD.UNCONFIRMED","WELL.CASED","WELL.GAS","WELL.OIL","WELL.OTHER","TRANSFER_STATION","LANDFILL","RECREATION","GOLFCOURSE","CAMPGROUND","GREENSPACE","SURROUNDING.VEG","RUNWAY","TRANSMISSION.LINE","CFO","RURAL.RESIDENCE","URBAN.RESIDENCE","COUNTRY.RESIDENCE","RESIDENCE_CLEARING","WELL.ABAND","ROUGH_PASTURE","CROP","TAME_PASTURE","FRUIT.VEGETABLES","CUTBLOCK","PRE.LOW.IMPACT.SEISMIC","TRAIL","DISTURB_VEG","PIPELINE","water","exposed_land","developed","shrubland","grassland","agriculture","coniferous_forest","broadleaf_forest","mixed_forest"
"Cell 1",1000,0,0,0,0,0,0,0.000999133,0.010589101,0,0.005978701,0.005626071,0,0,0,0,0.002201608,0,0,0.000632561,0,0,0,0,0,0,0,0.03558209,0,0,0,0,0,0,0,0,0,0,0.00422379,0,0.05774475,0.014529401,0,0,0,0,0.019332547,0,0,0,0,0,0,0,0.005119144,0,0,0,0.310893229,0.02926242,0,0,0,0,0,0,0.473199723,0,0.161413221,0,0.020450669,0.282492535,0,0.06244385,0
"Cell 1",1250,0,0,0,0,0,0,0.001350117,0.010029876,0,0.003868664,0.005596176,0,0,0,0,0.002326852,0,0,0.000404839,0,0,0,0,0,0,0,0.030194452,0,0,0,0.000835935,0,0,0,0,0,0,0.002703226,0,0.047507061,0.010796715,0,0,0,0,0.01237283,0,0,0,0,0,0,0,0.00338762,0,0.009699368,0,0.331649096,0.042856985,0,0,5.75e-05,0,0,0,0.442418782,0,0.139067255,0,0.03993969,0.303455299,0,0.075118971,0
"Cell 1",1500,0,0,0.000326384,0,0,0,0.001646668,0.009624216,0,0.002686573,0.005088442,0,0,0,0,0.002253019,0,0,0.000281138,0,0,0,0,0,0,0,0.026287967,0,0,0,0.000580511,0,0,0,0,0,0,0.00187724,0,0.036522894,0.009372138,0,0,0,0,0.008592243,0,0,0,0,0,0.002491104,0,0.002352514,0,0.012575781,0,0.342809593,0.036657655,0,0,0.000446096,8.71e-05,0,0,0.436628458,0,0.126424441,0,0.040466264,0.310847974,0,0.085632864,0
"Cell 1",1750,0,0,0.000239792,0,0,0,0.001369126,0.008165719,0,0.002728622,0.00446037,0,0,0,0.000159445,0.002123305,0,0,0.00020655,0,0,0,0,0,0,0,0.023621306,0,0,0,0.000426498,0,0,0,0,0,0,0.001379197,0,0.027627787,0.011950971,0,0,0,0,0.006312668,0,0,0,0,0,0.002862871,0,0.001728378,0,0.011067577,0,0.352211958,0.038583286,0,0,0.0007323,0.000242592,0,0,0.431501142,0,0.117817951,0,0.035921104,0.327435764,0,0.087324038,0
"Cell 1",2000,0,0,0.000310568,0,0,0,0.001350323,0.00733325,0,0.002810138,0.003621191,0,0,0,0.000522837,0.004638384,0,0,0.000180003,0,0,0,0,0,0,0,0.022471935,0,0,0,0.000326537,0,0,0,0,0,0,0.001055948,0,0.024430616,0.011330289,0,0,0,0,0.004833137,0,0,0,0,0,0.004772053,0,0.001323289,0,0.011124648,0,0.365656385,0.048649133,0,0,0.000698477,0.000319476,0,0.000439506,0.411635587,0,0.122900103,0,0.043787657,0.33994996,0,0.081726695,0
"Cell 1",2250,0,0,0.000573496,0,0,0,0.001297562,0.006889686,0,0.002781987,0.002861188,0,0,0,0.000680267,0.004974741,0,0,0.000142225,0,0,0,0,0,0,0,0.021225983,0,0,0,0.000258005,0,0,0,0,0,0,0.000834329,0,0.021260775,0.009708176,0,0,0,0,0.003818775,0,0,0,0,0,0.00660012,0,0.001045562,0,0.010743537,4.88e-05,0.380197764,0.053971407,0,0,0.000698492,0.000271876,0,0.000757293,0.38676418,0,0.121003668,0,0.047002706,0.354926915,0,0.090302531,0
"Cell 1",250,0,0,0,0,0,0,0,0.015927111,0,0.018089617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047113472,0,0,0,0,0,0,0,0,0,0,0,0,0.250024719,0,0,0,0,0,0.07848926,0,0,0,0,0,0,0,0,0,0,0,0.175382671,0,0,0,0,0,0,0,0.511614629,0,0.254737557,0,0,0.036945914,0,0.196701857,0
"Cell 1",2500,0,0,0.00046571,0,0,0,0.001573987,0.006609399,0,0.002380818,0.002410039,0,0,0,0.000748311,0.004944128,0,0,0.000115202,0,0,0,0,0,0,0,0.019756842,0,0,0,0.000208984,0,0,0,0,0,0,0.000675806,0,0.022656111,0.010195648,0,0,0,0,0.003093207,0,0,0,0,0,0.010085741,0,0.000846905,0,0.010193573,7.44e-05,0.395565053,0.06035424,0,0,0.000629473,0.000294728,0,0.002126586,0.352200311,0,0.116760687,0,0.056362145,0.374903984,0,0.099772872,0
"Cell 1",2750,0,0,0.000675225,0,0,0,0.001754491,0.005940025,0,0.002598273,0.002139348,0,0,0,0.000772738,0.004789592,0,0,9.52e-05,0,0,0,0,0,0,0,0.018470224,0,0,0,0.000172714,0,0,0,0,0,0,0.001117021,0,0.021503315,0.009980616,0,0,0,0,0.00255637,0,0,0,0,0,0.011063644,0,0.000699921,0,0.010277475,0.000547729,0.411022,0.06566866,0,0,0.000520226,0.000243612,0,0.002341539,0.311940454,0,0.112703245,0,0.059615593,0.402379492,0,0.113361215,0
"Cell 1",3000,0,0,0.000862404,0,0,0,0.001535349,0.005390387,0,0.002499736,0.001921654,0,0,0,0.000773797,0.004588772,0,0,0.000126561,0,0,0,0,0,0,0,0.016911474,0,0,0,0.000145128,0,0,0,0,0,0,0.000938608,0,0.019513011,0.00935943,0,0,0,0,0.002148061,0,0,0,0,0,0.01079271,0,0.000588128,0,0.01035557,0.001049491,0.426489148,0.072191231,0,0,0.000441892,0.000209668,0,0.002396971,0.27389423,0,0.105530286,0.000395645,0.065704294,0.427848838,0,0.126626706,0
